#prefix,URI,URL(if URI does not dereference)
dbo,http://dbpedia.org/ontology/,http://mappings.dbpedia.org/server/ontology/dbpedia.owl
georss,http://www.georss.org/georss/
isbd,http://iflastandards.info/ns/isbd/elements/
lgdo,http://linkedgeodata.org/ontology,http://downloads.linkedgeodata.org/experimental/2013-06-26-lgd-ontology.nt
lgdm,http://linkedgeodata.org/meta/
cheminf,http://semanticscience.org/ontology/cheminf,http://semanticscience.org/ontology/cheminf.owl
rooms,http://vocab.deri.ie/rooms#
nerd,http://nerd.eurecom.fr/ontology#,http://nerd.eurecom.fr/ontology/nerd-v0.5.n3
itsrdf,http://www.w3.org/2005/11/its/rdf#,http://www.w3.org/2005/11/its/rdf-content/its-rdf.rdf
olia,http://purl.org/olia
nif,http://persistence.uni-leipzig.org/nlp2rdf/ontologies/nif-core#,https://raw.github.com/NLP2RDF/ontologies/master/nif-core/nif-core.ttl
dataid,http://dataid.dbpedia.org/ns/core#,http://dataid.dbpedia.org/ns/core.ttl
rr,http://www.w3.org/ns/r2rml#
foaf,http://xmlns.com/foaf/0.1/
rml,http://semweb.mmlab.be/ns/rml#
ql,http://semweb.mmlab.be/ns/ql#
sider_vocabulary,http://bio2rdf.org/sider_vocabulary:,http://download.bio2rdf.org/release/3/sider/sider.schema.owl
aiiso,http://purl.org/vocab/aiiso/schema#,http://vocab.org/aiiso/schema-20080925.rdf
#dead http://www.aktors.org/ontology/portal
#dead http://www.aktors.org/ontology/support
bio,http://purl.org/vocab/bio/0.1/,http://vocab.org/bio/schema.rdf
bf,http://bibframe.org/vocab,http://id.loc.gov/ontologies/bibframe.rdf
bevon,http://rdfs.co/bevon/,https://raw.githubusercontent.com/jgkim/bevon/master/bevon.ttl
bevon,http://rdfs.co/bevon/0.8/,https://raw.githubusercontent.com/jgkim/bevon/master/bevon.ttl
#dead http://contextus.net/ontology/ontomedia/ext/common/being#
bci,https://w3id.org/BCI-ontology#,http://bci.pet.cs.nctu.edu.tw/ontology/BCI.owl
agrelon,http://d-nb.info/standards/elementset/agrelon.owl#,https://d-nb.info/standards/elementset/agrelon-20181016.rdf
aml,https://w3id.org/i40/aml,http://i40.semantic-interoperability.org/automationml/Documentation/ontology.ttl
ao,http://purl.org/ontology/ao/core#,http://purl.org/ontology/ao/associationontology.owl
#ontology document is not referenced! http://semweb.mmlab.be/ns/apps4X
# dead http://gslis.simmons.edu/archival/arch
# dead http://contextus.net/ontology/ontomedia/ext/common/being#
# not reachable http://vocab.deri.ie/br
bot,http://www.w3id.org/bot#,http://www.w3id.org/bot/bot.ttl
